name,display_name,pubmed_occurrence
hepatitis,Hepatitis,14331
"colitis, ulcerative","Colitis, Ulcerative",14233
fetal diseases,Fetal Diseases,14185
rectal neoplasms,Rectal Neoplasms,14051
cysts,Cysts,13974
hepatitis b,Hepatitis B,13961
glomerulonephritis,Glomerulonephritis,13815
gallstones,Gallstones,13762
glaucoma,Glaucoma,13611
"leukemia, myeloid","Leukemia, Myeloid",13417
respiratory tract infections,Respiratory Tract Infections,13392
anemia,Anemia,13275
infection,Infection,13195
"hypertension, pulmonary","Hypertension, Pulmonary",13068
mouth neoplasms,Mouth Neoplasms,13002
horse diseases,Horse Diseases,12999
"infant, newborn, diseases","Infant, Newborn, Diseases",12972
arterial occlusive diseases,Arterial Occlusive Diseases,12967
precursor cell lymphoblastic leukemia-lymphoma,Precursor Cell Lymphoblastic Leukemia-Lymphoma,12946
respiratory insufficiency,Respiratory Insufficiency,12928
gastrointestinal diseases,Gastrointestinal Diseases,12903
toxemia,Toxemia,12831
malaria,Malaria,12709
"leukemia, lymphoid","Leukemia, Lymphoid",12551
testicular neoplasms,Testicular Neoplasms,12480
cardiomyopathies,Cardiomyopathies,12321
hyperthyroidism,Hyperthyroidism,12285
streptococcal infections,Streptococcal Infections,12253
sarcoidosis,Sarcoidosis,12242
"carcinoma, renal cell","Carcinoma, Renal Cell",12220
pre-eclampsia,Pre-Eclampsia,12118
hypothyroidism,Hypothyroidism,12116
peptic ulcer,Peptic Ulcer,11997
osteoarthritis,Osteoarthritis,11913
migraine disorders,Migraine Disorders,11890
hyperlipidemias,Hyperlipidemias,11745
cerebral hemorrhage,Cerebral Hemorrhage,11643
arthritis,Arthritis,11628
neuroblastoma,Neuroblastoma,11594
down syndrome,Down Syndrome,11507
attention deficit disorder with hyperactivity,Attention Deficit Disorder with Hyperactivity,11428
precancerous conditions,Precancerous Conditions,11413
pituitary neoplasms,Pituitary Neoplasms,11363
"neoplasms, multiple primary","Neoplasms, Multiple Primary",11289
"infertility, female","Infertility, Female",11287
amyloidosis,Amyloidosis,11208
foreign bodies,Foreign Bodies,11184
muscular diseases,Muscular Diseases,11160
peripheral nervous system diseases,Peripheral Nervous System Diseases,11139
"lung diseases, obstructive","Lung Diseases, Obstructive",11033
laryngeal neoplasms,Laryngeal Neoplasms,10973
intestinal obstruction,Intestinal Obstruction,10943
"stress disorders, post-traumatic","Stress Disorders, Post-Traumatic",10934
heart arrest,Heart Arrest,10894
"pulmonary disease, chronic obstructive","Pulmonary Disease, Chronic Obstructive",10883
"pregnancy complications, infectious","Pregnancy Complications, Infectious",10840
cytomegalovirus infections,Cytomegalovirus Infections,10749
vascular diseases,Vascular Diseases,10742
cataract,Cataract,10719
stomach ulcer,Stomach Ulcer,10664
hemophilia a,Hemophilia A,10650
cholelithiasis,Cholelithiasis,10641
hypercholesterolemia,Hypercholesterolemia,10608
"anemia, sickle cell","Anemia, Sickle Cell",10525
duodenal ulcer,Duodenal Ulcer,10489
"hepatitis c, chronic","Hepatitis C, Chronic",10391
"shock, septic","Shock, Septic",10382
intracranial aneurysm,Intracranial Aneurysm,10349
"scleroderma, diffuse","Scleroderma, Diffuse",10329
cat diseases,Cat Diseases,10326
poultry diseases,Poultry Diseases,10315
anxiety disorders,Anxiety Disorders,10290
"ventricular dysfunction, left","Ventricular Dysfunction, Left",10263
gastroesophageal reflux,Gastroesophageal Reflux,10255
peritonitis,Peritonitis,10239
periodontal diseases,Periodontal Diseases,10199
swine diseases,Swine Diseases,10180
aids-related opportunistic infections,AIDS-Related Opportunistic Infections,10128
"scleroderma, systemic","Scleroderma, Systemic",10075
"depressive disorder, major","Depressive Disorder, Major",10060
"infertility, male","Infertility, Male",10026
adrenal gland neoplasms,Adrenal Gland Neoplasms,10004
cross infection,Cross Infection,9949
sarcoma,Sarcoma,9945
"neovascularization, pathologic","Neovascularization, Pathologic",9944
leprosy,Leprosy,9904
thrombophlebitis,Thrombophlebitis,9890
"wounds, nonpenetrating","Wounds, Nonpenetrating",9881
thrombocytopenia,Thrombocytopenia,9856
"mammary neoplasms, experimental","Mammary Neoplasms, Experimental",9854
abscess,Abscess,9835
"carcinoma, small cell","Carcinoma, Small Cell",9832
autistic disorder,Autistic Disorder,9815
soft tissue neoplasms,Soft Tissue Neoplasms,9794
"cell transformation, neoplastic","Cell Transformation, Neoplastic",9725
uremia,Uremia,9723
endometriosis,Endometriosis,9684
malocclusion,Malocclusion,9678
sheep diseases,Sheep Diseases,9626
rheumatic diseases,Rheumatic Diseases,9598
"pain, postoperative","Pain, Postoperative",9578
"carcinoma, transitional cell","Carcinoma, Transitional Cell",9558
celiac disease,Celiac Disease,9534
candidiasis,Candidiasis,9527
hypoglycemia,Hypoglycemia,9526
heart block,Heart Block,9466
dental caries,Dental Caries,9448
"ischemic attack, transient","Ischemic Attack, Transient",9388
"influenza, human","Influenza, Human",9330
deafness,Deafness,9265
cardiomegaly,Cardiomegaly,9251
vision disorders,Vision Disorders,9229
angiolymphoid hyperplasia with eosinophilia,Angiolymphoid Hyperplasia with Eosinophilia,9216
carotid artery diseases,Carotid Artery Diseases,9185
"respiratory distress syndrome, adult","Respiratory Distress Syndrome, Adult",9183
"endocarditis, bacterial","Endocarditis, Bacterial",9178
idiopathic pulmonary fibrosis,Idiopathic Pulmonary Fibrosis,9130
granuloma,Granuloma,9089
"leukemia, myelogenous, chronic, bcr-abl positive","Leukemia, Myelogenous, Chronic, BCR-ABL Positive",9061
drug hypersensitivity,Drug Hypersensitivity,8973
bronchitis,Bronchitis,8938
venous thrombosis,Venous Thrombosis,8915
diabetic nephropathies,Diabetic Nephropathies,8875
osteomyelitis,Osteomyelitis,8849
pulmonary fibrosis,Pulmonary Fibrosis,8790
headache,Headache,8719
"dermatitis, contact","Dermatitis, Contact",8717
hemangioma,Hemangioma,8682
prostatic hyperplasia,Prostatic Hyperplasia,8641
drug-induced liver injury,Drug-Induced Liver Injury,8637
cholestasis,Cholestasis,8589
radiation injuries,Radiation Injuries,8537
retinal diseases,Retinal Diseases,8519
muscular dystrophies,Muscular Dystrophies,8499
"dermatitis, atopic","Dermatitis, Atopic",8484
mycoses,Mycoses,8412
child behavior disorders,Child Behavior Disorders,8412
craniocerebral trauma,Craniocerebral Trauma,8369
gastritis,Gastritis,8366
"liver neoplasms, experimental","Liver Neoplasms, Experimental",8365
"lymphoma, b-cell","Lymphoma, B-Cell",8285
nephrotic syndrome,Nephrotic Syndrome,8269
escherichia coli infections,Escherichia coli Infections,8265
erectile dysfunction,Erectile Dysfunction,8240
atherosclerosis,Atherosclerosis,8177
reperfusion injury,Reperfusion Injury,8157
diabetic retinopathy,Diabetic Retinopathy,8149
periodontitis,Periodontitis,8113
substance withdrawal syndrome,Substance Withdrawal Syndrome,8113
"leukemia, lymphocytic, chronic, b-cell","Leukemia, Lymphocytic, Chronic, B-Cell",8099
meningitis,Meningitis,8085
endometrial neoplasms,Endometrial Neoplasms,8063
subarachnoid hemorrhage,Subarachnoid Hemorrhage,8057
bone diseases,Bone Diseases,8038
emphysema,Emphysema,8036
metabolic syndrome x,Metabolic Syndrome X,8028
tachycardia,Tachycardia,8000
anaphylaxis,Anaphylaxis,7962
"infant, premature, diseases","Infant, Premature, Diseases",7885
myasthenia gravis,Myasthenia Gravis,7884
osteosarcoma,Osteosarcoma,7877
hematoma,Hematoma,7874
graves disease,Graves Disease,7860
leiomyoma,Leiomyoma,7837
mouth diseases,Mouth Diseases,7815
bacteremia,Bacteremia,7811
joint diseases,Joint Diseases,7796
amyotrophic lateral sclerosis,Amyotrophic Lateral Sclerosis,7755
heart neoplasms,Heart Neoplasms,7627
glioblastoma,Glioblastoma,7617
"genital diseases, female","Genital Diseases, Female",7558
"cardiomyopathy, dilated","Cardiomyopathy, Dilated",7545
spinal diseases,Spinal Diseases,7537
inflammatory bowel diseases,Inflammatory Bowel Diseases,7529
hyperglycemia,Hyperglycemia,7522
aneurysm,Aneurysm,7518
kidney calculi,Kidney Calculi,7489
sleep apnea syndromes,Sleep Apnea Syndromes,7479
nasopharyngeal neoplasms,Nasopharyngeal Neoplasms,7388
"cardiomyopathy, hypertrophic","Cardiomyopathy, Hypertrophic",7377
thyroid diseases,Thyroid Diseases,7369
otitis media,Otitis Media,7345
hiv seropositivity,HIV Seropositivity,7318
central nervous system diseases,Central Nervous System Diseases,7284
fatty liver,Fatty Liver,7259
pseudomonas infections,Pseudomonas Infections,7239
chromosome aberrations,Chromosome Aberrations,7234
immunologic deficiency syndromes,Immunologic Deficiency Syndromes,7215
airway obstruction,Airway Obstruction,7213
genetic predisposition to disease,Genetic Predisposition to Disease,7198
gastrointestinal neoplasms,Gastrointestinal Neoplasms,7138
herpes simplex,Herpes Simplex,7118
meningioma,Meningioma,7084
appendicitis,Appendicitis,7071
hepatitis a,Hepatitis A,7058
athletic injuries,Athletic Injuries,7037
pheochromocytoma,Pheochromocytoma,7030
myelodysplastic syndromes,Myelodysplastic Syndromes,7016
pulmonary edema,Pulmonary Edema,7006
tumor virus infections,Tumor Virus Infections,7001
"lymphoma, large b-cell, diffuse","Lymphoma, Large B-Cell, Diffuse",6984
colitis,Colitis,6964
syphilis,Syphilis,6955
memory disorders,Memory Disorders,6955
aortic aneurysm,Aortic Aneurysm,6950
teratoma,Teratoma,6945
growth disorders,Growth Disorders,6941
"rhinitis, allergic, seasonal","Rhinitis, Allergic, Seasonal",6929
sinusitis,Sinusitis,6919
"anemia, aplastic","Anemia, Aplastic",6909
"hearing loss, sensorineural","Hearing Loss, Sensorineural",6854
dislocations,Dislocations,6848
cerebral palsy,Cerebral Palsy,6819
lymphatic diseases,Lymphatic Diseases,6817
nutrition disorders,Nutrition Disorders,6817
"pregnancy complications, cardiovascular","Pregnancy Complications, Cardiovascular",6799
encephalitis,Encephalitis,6769
blood coagulation disorders,Blood Coagulation Disorders,6761
sleep disorders,Sleep Disorders,6749
anorexia nervosa,Anorexia Nervosa,6717
diabetic neuropathies,Diabetic Neuropathies,6712
"malaria, falciparum","Malaria, Falciparum",6694
"leukemia, experimental","Leukemia, Experimental",6685
colonic diseases,Colonic Diseases,6685
urinary incontinence,Urinary Incontinence,6685
intestinal diseases,Intestinal Diseases,6681
"spondylitis, ankylosing","Spondylitis, Ankylosing",6649
vasculitis,Vasculitis,6642
myocarditis,Myocarditis,6579
eosinophilia,Eosinophilia,6578
neutropenia,Neutropenia,6576
thromboembolism,Thromboembolism,6570
chlamydia infections,Chlamydia Infections,6543
sjogren's syndrome,Sjogren's Syndrome,6543
diabetic angiopathies,Diabetic Angiopathies,6525
ventricular fibrillation,Ventricular Fibrillation,6519
"hypertension, renal","Hypertension, Renal",6499
"carcinoma, papillary","Carcinoma, Papillary",6466
mesothelioma,Mesothelioma,6450
hydrocephalus,Hydrocephalus,6420
fish diseases,Fish Diseases,6419
low back pain,Low Back Pain,6418
food hypersensitivity,Food Hypersensitivity,6416
peripheral arterial disease,Peripheral Arterial Disease,6395
arteriovenous fistula,Arteriovenous Fistula,6376
hyperparathyroidism,Hyperparathyroidism,6361
"hypertension, portal","Hypertension, Portal",6333
obsessive-compulsive disorder,Obsessive-Compulsive Disorder,6333
drug eruptions,Drug Eruptions,6330
hypotension,Hypotension,6307
neoplasm metastasis,Neoplasm Metastasis,6284
"brain damage, chronic","Brain Damage, Chronic",6259
meningeal neoplasms,Meningeal Neoplasms,6224
papillomavirus infections,Papillomavirus Infections,6208
pleural effusion,Pleural Effusion,6191
breast diseases,Breast Diseases,6159
polycystic ovary syndrome,Polycystic Ovary Syndrome,6152
paralysis,Paralysis,6139
peripheral vascular diseases,Peripheral Vascular Diseases,6110
personality disorders,Personality Disorders,6102
thalassemia,Thalassemia,6100
back pain,Back Pain,6094
macular degeneration,Macular Degeneration,6084
learning disorders,Learning Disorders,6073
"dermatitis, allergic contact","Dermatitis, Allergic Contact",6043
aspergillosis,Aspergillosis,6030
astrocytoma,Astrocytoma,6005
deglutition disorders,Deglutition Disorders,5996
movement disorders,Movement Disorders,5992
mediastinal neoplasms,Mediastinal Neoplasms,5987
aortic valve stenosis,Aortic Valve Stenosis,5971
pyelonephritis,Pyelonephritis,5960
carcinoma in situ,Carcinoma in Situ,5957
mitral valve insufficiency,Mitral Valve Insufficiency,5946
mitral valve stenosis,Mitral Valve Stenosis,5945
acidosis,Acidosis,5925
nevus,Nevus,5922
"hepatitis b, chronic","Hepatitis B, Chronic",5918
fetal growth retardation,Fetal Growth Retardation,5916
surgical wound infection,Surgical Wound Infection,5895
lipoma,Lipoma,5892
"aneurysm, dissecting","Aneurysm, Dissecting",5885
schistosomiasis,Schistosomiasis,5880
hearing disorders,Hearing Disorders,5875
intervertebral disk displacement,Intervertebral Disk Displacement,5872
cleft palate,Cleft Palate,5810
lymphatic metastasis,Lymphatic Metastasis,5807
"genital neoplasms, female","Genital Neoplasms, Female",5802
eye neoplasms,Eye Neoplasms,5792
hypercalcemia,Hypercalcemia,5760
developmental disabilities,Developmental Disabilities,5746
pancreatic diseases,Pancreatic Diseases,5739
aortic diseases,Aortic Diseases,5719
pulmonary emphysema,Pulmonary Emphysema,5714
spinal cord diseases,Spinal Cord Diseases,5710
congenital abnormalities,Congenital Abnormalities,5696
graft vs host disease,Graft vs Host Disease,5689
"shock, hemorrhagic","Shock, Hemorrhagic",5685
"carcinoma, basal cell","Carcinoma, Basal Cell",5681
huntington disease,Huntington Disease,5676
stomach diseases,Stomach Diseases,5663
temporomandibular joint disorders,Temporomandibular Joint Disorders,5661
"glaucoma, open-angle","Glaucoma, Open-Angle",5656
"sleep apnea, obstructive","Sleep Apnea, Obstructive",5636
gonorrhea,Gonorrhea,5623
blindness,Blindness,5619
"tachycardia, ventricular","Tachycardia, Ventricular",5615
"carcinoma, ductal, breast","Carcinoma, Ductal, Breast",5609
neurilemmoma,Neurilemmoma,5606
"epilepsy, temporal lobe","Epilepsy, Temporal Lobe",5599
shock,Shock,5596
acne vulgaris,Acne Vulgaris,5592
"hypertrophy, left ventricular","Hypertrophy, Left Ventricular",5588
peritoneal neoplasms,Peritoneal Neoplasms,5575
scoliosis,Scoliosis,5553
fistula,Fistula,5527
"carcinoma, ehrlich tumor","Carcinoma, Ehrlich Tumor",5514
carcinoid tumor,Carcinoid Tumor,5513
"arthritis, infectious","Arthritis, Infectious",5498
cushing syndrome,Cushing Syndrome,5493
"neoplasms, radiation-induced","Neoplasms, Radiation-Induced",5474
"respiratory distress syndrome, newborn","Respiratory Distress Syndrome, Newborn",5455
"hypersensitivity, immediate","Hypersensitivity, Immediate",5391
"arthritis, juvenile rheumatoid","Arthritis, Juvenile Rheumatoid",5379
neurotic disorders,Neurotic Disorders,5373
pneumothorax,Pneumothorax,5362
carotid stenosis,Carotid Stenosis,5342
behcet syndrome,Behcet Syndrome,5328
uveitis,Uveitis,5327
"encephalomyelitis, autoimmune, experimental","Encephalomyelitis, Autoimmune, Experimental",5322
gastroenteritis,Gastroenteritis,5314
"sarcoma, kaposi","Sarcoma, Kaposi",5304
fibroma,Fibroma,5289
hematologic diseases,Hematologic Diseases,5260
"hepatitis, viral, human","Hepatitis, Viral, Human",5259
proteinuria,Proteinuria,5255
varicose veins,Varicose Veins,5236
urticaria,Urticaria,5231
abdominal injuries,Abdominal Injuries,5219
neuromuscular diseases,Neuromuscular Diseases,5213
intestinal neoplasms,Intestinal Neoplasms,5209
"anemia, hemolytic","Anemia, Hemolytic",5197
intestinal perforation,Intestinal Perforation,5178
esophageal and gastric varices,Esophageal and Gastric Varices,5168
"metabolism, inborn errors","Metabolism, Inborn Errors",5165
biliary tract diseases,Biliary Tract Diseases,5134
lead poisoning,Lead Poisoning,5126
neurofibromatosis 1,Neurofibromatosis 1,5095
herpesviridae infections,Herpesviridae Infections,5089
ureteral obstruction,Ureteral Obstruction,5089
"hernia, diaphragmatic","Hernia, Diaphragmatic",5085
bronchial neoplasms,Bronchial Neoplasms,5048
fibrosarcoma,Fibrosarcoma,5037
urinary calculi,Urinary Calculi,5035
dental plaque,Dental Plaque,5032
"sarcoma, experimental","Sarcoma, Experimental",5000
disseminated intravascular coagulation,Disseminated Intravascular Coagulation,4993
cholecystitis,Cholecystitis,4973
"delirium, dementia, amnestic, cognitive disorders","Delirium, Dementia, Amnestic, Cognitive Disorders",4962
demyelinating diseases,Demyelinating Diseases,4950
eating disorders,Eating Disorders,4944
"osteoporosis, postmenopausal","Osteoporosis, Postmenopausal",4925
"hypersensitivity, delayed","Hypersensitivity, Delayed",4925
echinococcosis,Echinococcosis,4919
phobic disorders,Phobic Disorders,4911
brain edema,Brain Edema,4903
ascites,Ascites,4892
intraoperative complications,Intraoperative Complications,4879
hepatic encephalopathy,Hepatic Encephalopathy,4857
opportunistic infections,Opportunistic Infections,4845
pregnancy in diabetics,Pregnancy in Diabetics,4843
knee injuries,Knee Injuries,4833
heart valve diseases,Heart Valve Diseases,4804
"radiation injuries, experimental","Radiation Injuries, Experimental",4796
retinal detachment,Retinal Detachment,4792
burkitt lymphoma,Burkitt Lymphoma,4785
respiratory hypersensitivity,Respiratory Hypersensitivity,4764
bile duct neoplasms,Bile Duct Neoplasms,4761
primary ovarian insufficiency,Primary Ovarian Insufficiency,4760
poliomyelitis,Poliomyelitis,4746
bone resorption,Bone Resorption,4737
thoracic injuries,Thoracic Injuries,4715
pleural neoplasms,Pleural Neoplasms,4693
"genetic diseases, inborn","Genetic Diseases, Inborn",4685
neurodegenerative diseases,Neurodegenerative Diseases,4675
nerve compression syndromes,Nerve Compression Syndromes,4663
salmonella infections,Salmonella Infections,4657
mood disorders,Mood Disorders,4657
"pneumonia, bacterial","Pneumonia, Bacterial",4650
renal artery obstruction,Renal Artery Obstruction,4647
cough,Cough,4619
gout,Gout,4618
herpes zoster,Herpes Zoster,4591
spinal neoplasms,Spinal Neoplasms,4590
"lung diseases, fungal","Lung Diseases, Fungal",4584
"neoplasms, second primary","Neoplasms, Second Primary",4580
urination disorders,Urination Disorders,4568
facial paralysis,Facial Paralysis,4562
choristoma,Choristoma,4561
gonadal dysgenesis,Gonadal Dysgenesis,4557
strabismus,Strabismus,4540
myocardial reperfusion injury,Myocardial Reperfusion Injury,4539
lyme disease,Lyme Disease,4516
hemochromatosis,Hemochromatosis,4515
puerperal disorders,Puerperal Disorders,4507
corneal diseases,Corneal Diseases,4496
coma,Coma,4487
"angina, unstable","Angina, Unstable",4482
syncope,Syncope,4478
rodent diseases,Rodent Diseases,4477
"heart septal defects, atrial","Heart Septal Defects, Atrial",4455
toxoplasmosis,Toxoplasmosis,4439
dizziness,Dizziness,4439
paraplegia,Paraplegia,4428
papilloma,Papilloma,4425
dyspnea,Dyspnea,4405
typhoid fever,Typhoid Fever,4404
alcoholic intoxication,Alcoholic Intoxication,4394
ophthalmoplegia,Ophthalmoplegia,4385
duodenal diseases,Duodenal Diseases,4383
"aortic aneurysm, abdominal","Aortic Aneurysm, Abdominal",4381
antiphospholipid syndrome,Antiphospholipid Syndrome,4380
agranulocytosis,Agranulocytosis,4376
esophageal diseases,Esophageal Diseases,4357
pemphigus,Pemphigus,4344
wilms tumor,Wilms Tumor,4336
"liver cirrhosis, biliary","Liver Cirrhosis, Biliary",4334
beta-thalassemia,beta-Thalassemia,4333
chagas disease,Chagas Disease,4326
cicatrix,Cicatrix,4321
"dermatitis, occupational","Dermatitis, Occupational",4307
pigmentation disorders,Pigmentation Disorders,4302
urinary bladder diseases,Urinary Bladder Diseases,4284
urologic diseases,Urologic Diseases,4277
lymphoproliferative disorders,Lymphoproliferative Disorders,4277
nerve degeneration,Nerve Degeneration,4258
sleep initiation and maintenance disorders,Sleep Initiation and Maintenance Disorders,4247
chronic disease,Chronic Disease,4245
"epilepsies, partial","Epilepsies, Partial",4239
foot diseases,Foot Diseases,4233
thymus neoplasms,Thymus Neoplasms,4227
renal insufficiency,Renal Insufficiency,4227
retroperitoneal neoplasms,Retroperitoneal Neoplasms,4225
acromegaly,Acromegaly,4225
aphasia,Aphasia,4223
intracranial embolism and thrombosis,Intracranial Embolism and Thrombosis,4222
joint instability,Joint Instability,4219
"pregnancy, ectopic","Pregnancy, Ectopic",4204
autonomic nervous system diseases,Autonomic Nervous System Diseases,4200
"carcinoma, bronchogenic","Carcinoma, Bronchogenic",4197
eye injuries,Eye Injuries,4191
retinal degeneration,Retinal Degeneration,4162
nose neoplasms,Nose Neoplasms,4156
rheumatic heart disease,Rheumatic Heart Disease,4148
"wounds, gunshot","Wounds, Gunshot",4148
myopia,Myopia,4137
"osteoarthritis, knee","Osteoarthritis, Knee",4135
"rhinitis, allergic, perennial","Rhinitis, Allergic, Perennial",4130
porphyrias,Porphyrias,4123
poisoning,Poisoning,4119
bird diseases,Bird Diseases,4116
"anemia, hypochromic","Anemia, Hypochromic",4105
spinal cord neoplasms,Spinal Cord Neoplasms,4104
intestinal fistula,Intestinal Fistula,4104
myositis,Myositis,4095
dystonia,Dystonia,4089
rhabdomyosarcoma,Rhabdomyosarcoma,4086
bronchial diseases,Bronchial Diseases,4080
"arthritis, experimental","Arthritis, Experimental",4063
"neoplasms, germ cell and embryonal","Neoplasms, Germ Cell and Embryonal",4062
salivary gland neoplasms,Salivary Gland Neoplasms,4061
aortic valve insufficiency,Aortic Valve Insufficiency,4057
cerebellar neoplasms,Cerebellar Neoplasms,4039
spinal cord compression,Spinal Cord Compression,4036
brucellosis,Brucellosis,4032
"abortion, spontaneous","Abortion, Spontaneous",4029
coronary stenosis,Coronary Stenosis,4015
"substance abuse, intravenous","Substance Abuse, Intravenous",4005
"wounds, penetrating","Wounds, Penetrating",3985
speech disorders,Speech Disorders,3981
coronary vessel anomalies,Coronary Vessel Anomalies,3977
infectious mononucleosis,Infectious Mononucleosis,3971
plasmacytoma,Plasmacytoma,3968
"pneumonia, pneumocystis","Pneumonia, Pneumocystis",3965
vaccinia,Vaccinia,3948
"melanoma, experimental","Melanoma, Experimental",3944
pneumococcal infections,Pneumococcal Infections,3939
rheumatic fever,Rheumatic Fever,3927
amenorrhea,Amenorrhea,3927
"obstetric labor, premature","Obstetric Labor, Premature",3926
leiomyosarcoma,Leiomyosarcoma,3924
embolism,Embolism,3922
somatoform disorders,Somatoform Disorders,3900
hamartoma,Hamartoma,3896
hematologic neoplasms,Hematologic Neoplasms,3884
"abnormalities, drug-induced","Abnormalities, Drug-Induced",3880
cleft lip,Cleft Lip,3879
"aneurysm, false","Aneurysm, False",3872
turner syndrome,Turner Syndrome,3862
rhinitis,Rhinitis,3859
dermatomycoses,Dermatomycoses,3858
bundle-branch block,Bundle-Branch Block,3849
hemiplegia,Hemiplegia,3843
wegener granulomatosis,Wegener Granulomatosis,3842
orbital neoplasms,Orbital Neoplasms,3840
arteriovenous malformations,Arteriovenous Malformations,3829
hyponatremia,Hyponatremia,3818
"leukemia, promyelocytic, acute","Leukemia, Promyelocytic, Acute",3813
